Topology,SamplesPerRound,LearningRate,ClientFraction,RoundsToTarget,FinalAccuracy,ReachedTarget
topology_11_35_3_,20,0.4,0.1,181,0.916667,true
topology_11_35_3_,20,0.4,0.2,211,0.916667,true
topology_11_35_3_,20,0.5,0.1,151,0.916667,true
topology_11_35_3_,20,0.5,0.2,181,0.916667,true
topology_11_35_3_,20,0.6,0.1,141,0.916667,true
topology_11_35_3_,20,0.6,0.2,181,1,true
topology_11_35_3_,25,0.4,0.1,111,0.916667,true
topology_11_35_3_,25,0.4,0.2,181,0.916667,true
topology_11_35_3_,25,0.5,0.1,91,0.916667,true
topology_11_35_3_,25,0.5,0.2,161,1,true
topology_11_35_3_,25,0.6,0.1,111,1,true
topology_11_35_3_,25,0.6,0.2,141,1,true
topology_11_35_3_,30,0.4,0.1,131,0.916667,true
topology_11_35_3_,30,0.4,0.2,161,1,true
topology_11_35_3_,30,0.5,0.1,111,0.916667,true
topology_11_35_3_,30,0.5,0.2,111,0.916667,true
topology_11_35_3_,30,0.6,0.1,111,1,true
topology_11_35_3_,30,0.6,0.2,111,1,true
topology_11_50_3_,20,0.4,0.1,181,0.916667,true
topology_11_50_3_,20,0.4,0.2,231,0.916667,true
topology_11_50_3_,20,0.5,0.1,171,0.916667,true
topology_11_50_3_,20,0.5,0.2,201,0.916667,true
topology_11_50_3_,20,0.6,0.1,141,0.916667,true
topology_11_50_3_,20,0.6,0.2,181,1,true
topology_11_50_3_,25,0.4,0.1,111,0.916667,true
topology_11_50_3_,25,0.4,0.2,181,0.916667,true
topology_11_50_3_,25,0.5,0.1,111,0.916667,true
topology_11_50_3_,25,0.5,0.2,161,0.916667,true
topology_11_50_3_,25,0.6,0.1,111,1,true
topology_11_50_3_,25,0.6,0.2,131,0.916667,true
topology_11_50_3_,30,0.4,0.1,131,0.916667,true
topology_11_50_3_,30,0.4,0.2,161,0.916667,true
topology_11_50_3_,30,0.5,0.1,121,1,true
topology_11_50_3_,30,0.5,0.2,141,1,true
topology_11_50_3_,30,0.6,0.1,111,1,true
topology_11_50_3_,30,0.6,0.2,111,0.916667,true
topology_11_65_3_,20,0.4,0.1,191,0.916667,true
topology_11_65_3_,20,0.4,0.2,241,0.916667,true
topology_11_65_3_,20,0.5,0.1,181,1,true
topology_11_65_3_,20,0.5,0.2,211,0.916667,true
topology_11_65_3_,20,0.6,0.1,171,0.916667,true
topology_11_65_3_,20,0.6,0.2,171,1,true
topology_11_65_3_,25,0.4,0.1,181,1,true
topology_11_65_3_,25,0.4,0.2,221,0.916667,true
topology_11_65_3_,25,0.5,0.1,141,0.916667,true
topology_11_65_3_,25,0.5,0.2,171,1,true
topology_11_65_3_,25,0.6,0.1,151,0.916667,true
topology_11_65_3_,25,0.6,0.2,131,0.916667,true
topology_11_65_3_,30,0.4,0.1,141,0.916667,true
topology_11_65_3_,30,0.4,0.2,161,0.916667,true
topology_11_65_3_,30,0.5,0.1,131,0.916667,true
topology_11_65_3_,30,0.5,0.2,141,0.916667,true
topology_11_65_3_,30,0.6,0.1,121,1,true
topology_11_65_3_,30,0.6,0.2,131,1,true
